"Station Name","ST. CATHARINES / NIAGARA DISTRICT A"
"Province","ONTARIO"
"Latitude","43.19"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137286"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2013-12-09 13:00","2013","12","09","13:00","1.2","","-0.7","","87","","25","","36","","12.9","","100.02","","","","","","Rain"
"2013-12-09 14:00","2013","12","09","14:00","1.3","","-1.8","","80","","26","","29","","16.1","","100.06","","","","","","NA"
"2013-12-09 15:00","2013","12","09","15:00","1.1","","-2.7","","76","","24","","31","","19.3","","100.03","","","","","","NA"
"2013-12-09 16:00","2013","12","09","16:00","0.8","","-3.5","","73","","25","","29","","24.1","","100.14","","","","","","Cloudy"
"2013-12-09 17:00","2013","12","09","17:00","0.3","","-3.8","","74","","25","","32","","24.1","","100.23","","","","","","NA"
"2013-12-09 18:00","2013","12","09","18:00","-0.1","","-4.4","","73","","25","","39","","24.1","","100.29","","","","-7","","NA"
"2013-12-09 19:00","2013","12","09","19:00","-0.3","","-4.9","","71","","25","","34","","24.1","","100.34","","","","-7","","Cloudy"
"2013-12-09 20:00","2013","12","09","20:00","-0.5","","-5.1","","71","","25","","28","","24.1","","100.38","","","","-7","","NA"
"2013-12-09 21:00","2013","12","09","21:00","-0.8","","-6.0","","68","","26","","33","","24.1","","100.37","","","","-8","","NA"
"2013-12-09 22:00","2013","12","09","22:00"
"2013-12-09 23:00","2013","12","09","23:00"
